"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EVI2B",7.12272168112624e-124,1.16140988657372,0.431,0.029,1.51884917128336e-119
"LSP1",4.00854648780829e-123,1.47175461230325,0.487,0.063,8.54782453060241e-119
"ESAM",1.57554471622224e-122,-1.68350049790429,0.018,0.406,3.3596915528723e-118
"SPTBN1",1.91876398567359e-122,-1.47598089986752,0.072,0.495,4.09157232305036e-118
"FN1",6.09949452715276e-120,-2.05206801547715,0.065,0.475,1.30065621297005e-115
"COL4A2",8.19556549015243e-120,-1.88851761546037,0.017,0.396,1.7476223851201e-115
"IGFBP4",1.46472237510916e-119,-1.57506938128415,0.025,0.413,3.12337399268277e-115
"RAB13",3.25430806313652e-118,-1.49383872192938,0.101,0.508,6.93948651383231e-114
"HSPB1",8.64462541376345e-118,-1.68042289500107,0.687,0.922,1.84337992323092e-113
"MGST3",1.84753081650159e-115,-1.43061838782448,0.335,0.709,3.93967471310799e-111
"NFIB",2.1403183629284e-115,-1.52152161238157,0.011,0.375,4.56401487710853e-111
"CAV2",4.84033069555206e-115,-1.23620351213905,0.022,0.394,1.03215211751952e-110
"GPX3",1.38353515495852e-114,-1.88471345390479,0.046,0.429,2.95025036443355e-110
"TPM1",4.48712261094466e-114,-2.24069729269394,0.084,0.476,9.56834025557838e-110
"BCAM",5.10804101470771e-114,-1.42072622697112,0.014,0.378,1.08923866597627e-109
"RARRES2",5.24551684930633e-114,-2.27438267357443,0.057,0.442,1.11855401294608e-109
"EGFL7",6.39969167025305e-114,-1.95666714512697,0.035,0.413,1.36467025176476e-109
"COL18A1",7.33138874132521e-114,-1.63668786783376,0.023,0.39,1.56334533520019e-109
"ARHGAP29",1.56652165968778e-113,-1.55879119193247,0.015,0.379,3.34045078711823e-109
"CD53",1.89773694141573e-113,1.29005635193862,0.393,0.023,4.04673425387491e-109
"SAMSN1",4.51797454654908e-113,1.42136025801156,0.403,0.029,9.63412892306125e-109
"TIMP3",9.08164778069564e-112,-1.73726441307154,0.022,0.385,1.93657057275554e-107
"PPIC",1.69243348031515e-111,-1.23812555769418,0.018,0.379,3.60894515342403e-107
"SDC2",2.03607739713671e-111,-1.65315442680761,0.023,0.385,4.34173144165433e-107
"RAC2",3.51047736885919e-111,1.36251645540576,0.399,0.029,7.48574194135535e-107
"EFNA1",7.91115838031572e-111,-1.58857037901969,0.025,0.388,1.68697541301852e-106
"MAP1B",1.07266118733245e-110,-1.77539837788985,0.014,0.367,2.28734271586772e-106
"CD3D",2.94413670648754e-109,2.13480771191485,0.399,0.036,6.27807711291404e-105
"AGT",6.04672415538881e-109,-1.93212591974562,0.04,0.401,1.28940345889511e-104
"S100A16",9.58588229155386e-107,-1.54242897176374,0.033,0.392,2.04409353985094e-102
"CYB5R3",9.96634696836791e-107,-1.27921393683778,0.13,0.53,2.12522382753477e-102
"PLPP1",7.97460534463834e-106,-2.3416914193634,0.057,0.426,1.70050484369068e-101
"STOM",3.20562713796604e-104,-1.42227530900443,0.117,0.519,6.83567930899879e-100
"MYL9",7.75169415663102e-103,-3.29899195982426,0.061,0.415,1.65297126196e-98
"PDE4B",1.19339198206397e-102,1.0478068881084,0.449,0.067,2.54478906255321e-98
"SPRY1",2.91731961540624e-102,-1.86552187450308,0.038,0.392,6.22089234789228e-98
"C8orf4",3.07416323109512e-102,-1.54924582892365,0.013,0.345,6.55534567398722e-98
"RHOB",1.20692015204622e-101,-1.68448175491983,0.176,0.544,2.57363653222335e-97
"FXYD6",2.33231072314813e-101,-1.6674584785478,0.017,0.348,4.97341938604106e-97
"ITGB2",5.64176226595934e-101,1.4348273531296,0.33,0.008,1.20304938559317e-96
"SERPING1",1.04085746746226e-100,-1.47986243964134,0.07,0.432,2.21952446361653e-96
"ID3",1.12374273073861e-100,-2.16852275229726,0.122,0.495,2.39626899902701e-96
"TRAC",2.7835900100249e-100,2.11051755978742,0.368,0.031,5.93572733737709e-96
"CD48",5.82338480368574e-100,1.36444337834316,0.344,0.017,1.24177857553795e-95
"LHFP",4.07715324298103e-99,-1.72785176448494,0.017,0.341,8.69412157533275e-95
"IFITM2",1.1591830252629e-98,-1.22382438296748,0.403,0.776,2.47184188307061e-94
"BGN",1.8744448760102e-98,-2.41978945044278,0.023,0.348,3.99706625360415e-94
"PDLIM1",5.56355582694722e-98,-1.34529771799005,0.093,0.45,1.18637264453823e-93
"CYR61",6.11590871363572e-98,-1.99222318609539,0.014,0.335,1.30415637409568e-93
"PLS3",8.710856873853e-98,-1.06667068081,0.009,0.325,1.85750311978041e-93
"SRP14",6.08884358242374e-97,-1.25784249659009,0.757,0.904,1.29838500551604e-92
"COL6A2",7.73502650691587e-97,-1.61323433006881,0.009,0.322,1.64941705233474e-92
"PPP1R14A",1.0534619429709e-96,-1.94493210793074,0.021,0.343,2.24640224719115e-92
"LAPTM4A",1.07706531448689e-95,-1.15962577957733,0.437,0.742,2.29673407661185e-91
"ATP5J",2.02406475835772e-95,-1.26530718733876,0.529,0.783,4.316115690722e-91
"RGS5",4.04352419939048e-95,-4.44213458494241,0.042,0.369,8.62241100278027e-91
"GPR183",7.06381454644219e-94,1.88939319443075,0.348,0.028,1.50628781388333e-89
"MYL6",9.69532367455512e-94,-1.04875191494783,0.899,0.951,2.06743082036213e-89
"MDK",5.86782869957584e-93,-2.1091054027783,0.089,0.423,1.25125579189755e-88
"PLAC9",6.20397955392719e-93,-1.80247362409633,0.013,0.318,1.32293660007943e-88
"LTB",1.01079087666634e-92,2.696979922449,0.386,0.053,2.1554104654033e-88
"MTUS1",1.77980037868985e-92,-1.15834148205739,0.018,0.328,3.79524632751824e-88
"GJA4",1.86633456540551e-92,-1.95944702696118,0.022,0.331,3.9797718272707e-88
"CD69",8.30409574515937e-92,2.00748747918543,0.341,0.027,1.77076537669778e-87
"LAPTM5",1.20006262990663e-91,1.67248591635689,0.457,0.108,2.5590135520129e-87
"ALOX5AP",3.78187414202271e-91,1.46579050204212,0.311,0.012,8.06446842044923e-87
"CPE",6.31035465151973e-91,-1.39041898900633,0.009,0.307,1.34562002589007e-86
"PKIG",7.26170651713283e-91,-1.16864181458964,0.047,0.371,1.5484862977134e-86
"ADIRF",1.28639635753257e-90,-2.79192845089405,0.032,0.345,2.74311159280246e-86
"COX5B",1.59231510184336e-90,-1.16364932906452,0.58,0.808,3.39545272317078e-86
"COX7A1",1.64875429223606e-89,-1.23719660978755,0.01,0.303,3.51580365276418e-85
"BIRC3",1.72668149551782e-89,1.38899580411981,0.415,0.07,3.6819756210422e-85
"CD2",2.14228883187435e-89,1.72684864772282,0.305,0.011,4.56821670508886e-85
"ADAMTS1",8.05568003664559e-89,-1.44055568727656,0.009,0.299,1.71779321101431e-84
"COX6A1",8.27479783994901e-89,-1.28362568687386,0.613,0.81,1.76451789139073e-84
"COX6C",1.11603871063154e-88,-1.18682065281014,0.604,0.823,2.37984094655069e-84
"FYB",1.1505891551159e-88,1.31351495823586,0.286,0.003,2.45351631436915e-84
"OAZ2",2.90835438432616e-88,-1.56359676762491,0.166,0.512,6.20177488913711e-84
"IGFBP5",1.30788812151559e-87,-2.31923801006447,0.008,0.294,2.78894063031985e-83
"IGHG4",1.6504227332918e-87,1.90354084139182,0.532,0.165,3.51936143647144e-83
"SERPINH1",5.39617449006109e-87,-1.44433556958736,0.12,0.482,1.15068024826063e-82
"TPM2",5.27072335616606e-86,-2.66958758617783,0.03,0.327,1.12392904846885e-81
"UQCRQ",1.00856879020006e-85,-1.56528287022538,0.577,0.779,2.15067208822262e-81
"IGHG3",2.06181716991761e-85,2.21834257750393,0.555,0.2,4.39661893313232e-81
"MFGE8",3.98111033033379e-85,-1.95553575923885,0.033,0.332,8.48931966840377e-81
"CSRP2",2.06145355981698e-84,-1.40170892647876,0.003,0.274,4.39584357095373e-80
"ADAMTS4",7.63206893288202e-84,-1.56759880067681,0.012,0.29,1.62746237924776e-79
"INSR",2.3037787295492e-83,-1.88149306602751,0.053,0.361,4.91257776289071e-79
"HYAL2",3.58971091173928e-83,-1.46230195073851,0.029,0.322,7.65469954819285e-79
"BST2",3.76904208969422e-83,-1.09579671914961,0.479,0.746,8.03710535206396e-79
"NR2F2",5.7471020866644e-83,-1.13604736923121,0.006,0.279,1.22551204896032e-78
"HSPG2",1.20090074323684e-82,-1.84127635133422,0.032,0.325,2.56080074487824e-78
"GPSM3",1.20364322402048e-82,1.17010675585686,0.389,0.068,2.56664881090128e-78
"RAMP2",2.681740919188e-82,-2.26467327079411,0.025,0.311,5.71854433607649e-78
"EMP2",3.43518401687697e-82,-1.02501742415935,0.032,0.329,7.32518639758846e-78
"DSTN",9.46855750387306e-82,-1.78644778909432,0.344,0.631,2.01907520212589e-77
"TPI1",9.82701377447677e-82,-1.13840999752699,0.56,0.807,2.09551241726943e-77
"SOX4",2.80710557227573e-81,-1.44877513063996,0.075,0.39,5.98587192232077e-77
"SERPINF1",3.58518866650436e-81,-1.37475348883566,0.064,0.375,7.64505631245389e-77
"SELM",2.45299338333513e-80,-1.34710852828783,0.351,0.622,5.23076309062384e-76
"JCHAIN",2.46715542844272e-80,1.82827019073542,0.453,0.108,5.26096223561125e-76
"FOS",9.77382892827677e-80,-1.91949721366328,0.665,0.828,2.08417128066574e-75
"LGALS3BP",1.70109762182908e-79,-1.22910788833686,0.073,0.383,3.62742056878833e-75
"FXYD1",2.3856122627202e-79,-1.1667699406856,0.02,0.299,5.08707958902455e-75
"CD9",3.93248791509527e-79,-1.76871077436656,0.2,0.506,8.38563723014915e-75
"THY1",6.20476370026136e-79,-1.97013744790727,0.024,0.301,1.32310381144373e-74
"TCF4",7.25986436146636e-79,-1.6501104168244,0.195,0.498,1.54809347643909e-74
"IGHG2",1.01893160222558e-78,2.3507881852608,0.423,0.093,2.17276974858582e-74
"GAPDH",1.74549307788933e-78,-1.05975004794887,0.938,0.957,3.72208943929122e-74
"JAG1",6.50290442677159e-78,-1.09723345136534,0.011,0.274,1.38667933996477e-73
"COX7A2",9.97627807096832e-78,-1.13380596507397,0.75,0.847,2.12734153585328e-73
"TCEB2",1.06094758271217e-77,-1.00708876395556,0.601,0.82,2.26236462537543e-73
"IGKC",1.15589847103568e-77,2.31343705233189,0.62,0.342,2.46483789963648e-73
"TRBC2",2.25049812811678e-77,1.62058170184004,0.306,0.03,4.79896220839621e-73
"ISYNA1",2.82155541523892e-77,-1.03324278884152,0.018,0.286,6.01668476745547e-73
"NDRG2",3.03444445143785e-77,-1.14185802968206,0.045,0.339,6.47064934824608e-73
"CD3E",3.35180285479606e-77,1.39547629103488,0.281,0.016,7.14738440756713e-73
"CYSTM1",4.69894691437575e-77,-1.09999454039917,0.137,0.456,1.00200344002148e-72
"EMP1",5.55258584630157e-77,-1.41566367164902,0.027,0.303,1.18403340586535e-72
"IGLC2",9.99157627500387e-77,2.10004556403219,0.515,0.189,2.13060372488183e-72
"FILIP1",1.00039694385883e-76,-1.05542147021064,0.009,0.265,2.13324644308457e-72
"TAGLN",2.15462183635597e-76,-3.98299479151359,0.051,0.332,4.59451560384547e-72
"ID1",2.26964864175604e-76,-1.95891892268549,0.062,0.357,4.83979876368059e-72
"TRBC1",3.72172328312767e-76,1.94316296750277,0.288,0.021,7.93620272894145e-72
"IGHG1",1.25178297103888e-75,1.82205782044559,0.487,0.146,2.66930200744331e-71
"GPR65",1.31782865066245e-75,1.14646058598889,0.262,0.009,2.81013781467262e-71
"STK17B",1.5009780448357e-75,1.10070414063294,0.354,0.057,3.20068558280764e-71
"HES1",1.82742025508488e-75,-1.19914147951678,0.077,0.391,3.896790951943e-71
"IGHGP",4.76098808299049e-75,2.15356997453787,0.442,0.116,1.01523309881689e-70
"NNMT",5.32133147610824e-75,-1.28558324030201,0.017,0.277,1.13472072396532e-70
"CLEC14A",5.93042164627449e-75,-1.66182974026962,0.017,0.276,1.26460311185157e-70
"LEPROT",6.430574013209e-75,-1.08696738669788,0.112,0.42,1.37125560257669e-70
"CTSS",2.59294840473153e-74,1.12388525023106,0.437,0.107,5.52920317824952e-70
"HCFC1R1",4.83242241408557e-74,-1.07485870983522,0.085,0.388,1.03046575557961e-69
"ZBTB16",5.12935119750433e-74,-1.07421653447183,0.025,0.293,1.09378284935582e-69
"FRZB",5.20537515675447e-74,-1.60663843684697,0.006,0.252,1.10999419842632e-69
"KRT18",6.35937234301665e-74,-1.71437910753199,0.063,0.346,1.35607255842487e-69
"TIMP1",7.34317210266272e-74,-1.94441076422194,0.341,0.667,1.5658580191718e-69
"CD79A",1.06387360900515e-73,1.00182864627709,0.381,0.073,2.26860408384258e-69
"KLRB1",1.19824515921341e-73,2.82571382556118,0.299,0.032,2.55513797750668e-69
"MZB1",1.38060457682784e-73,1.3443626124353,0.445,0.111,2.94400119962768e-69
"MGST2",2.68202366734645e-73,-1.06361784790127,0.097,0.405,5.71914726824958e-69
"PTMS",6.83353347883911e-73,-1.07587004236225,0.072,0.376,1.45718267902765e-68
"SLC9A3R2",1.06113245687539e-72,-2.03329448178111,0.032,0.298,2.26275885104109e-68
"LCP1",1.91571702688701e-72,1.15820614244048,0.307,0.038,4.08507498813385e-68
"C10orf10",2.74852628861623e-72,-1.45616673114955,0.029,0.292,5.86095745784526e-68
"CD44",3.81318374654562e-72,1.099063128462,0.485,0.15,8.13123302113388e-68
"EDNRB",9.43859743888313e-72,-1.26121989414545,0.019,0.272,2.01268651786744e-67
"BSG",1.01061388137714e-71,-1.04834773475885,0.445,0.684,2.15503304064861e-67
"MYLK",1.26432472502374e-71,-1.33199092439366,0.014,0.26,2.69604604364063e-67
"TCEAL4",1.36858949814927e-71,-1.01001636539469,0.097,0.399,2.9183802458535e-67
"EMCN",1.14414927429153e-70,-1.31323767089888,0.011,0.254,2.43978391249926e-66
"HLA-DPB1",1.54744420110064e-70,3.21195294460038,0.401,0.111,3.29977001442701e-66
"DOK2",2.15130540782484e-70,1.16775477026081,0.253,0.012,4.58744365164569e-66
"ANAPC11",3.65974363306323e-70,-1.21668053838659,0.391,0.658,7.80403732314404e-66
"C1R",4.35312139443263e-70,-1.17391751309894,0.036,0.294,9.28259606148813e-66
"SRGN",5.60601974759106e-70,1.10480609986462,0.877,0.494,1.19542765097632e-65
"IL7R",1.47624405263131e-69,1.79236439529751,0.255,0.015,3.14794281783102e-65
"TNFAIP3",2.32627767895236e-69,1.2105471533565,0.376,0.083,4.96055452259802e-65
"RBP7",3.64199723322789e-69,-2.7442618257557,0.046,0.308,7.76619490013515e-65
"LDB2",8.68401423712637e-69,-1.18723637615172,0.012,0.251,1.85177919592483e-64
"EZR",1.15239016605001e-68,1.08359922103945,0.549,0.214,2.45735679008504e-64
"PLVAP",1.23984960914135e-68,-2.09475626264704,0.038,0.296,2.64385530653301e-64
"KRT8",1.71552881690165e-68,-1.34034467986094,0.045,0.307,3.65819364916108e-64
"CD74",2.28494189208093e-68,2.54376961090825,0.789,0.427,4.87241009067338e-64
"NDRG1",3.55347798563992e-68,-2.04944414472931,0.091,0.378,7.57743645657857e-64
"FABP4",4.89337085823947e-68,-2.43105558388038,0.017,0.257,1.04346240181098e-63
"ALB",5.22423509521047e-68,-3.99873077291511,0.227,0.506,1.11401589170268e-63
"NEAT1",9.28659932286068e-68,-1.13107640204562,0.842,0.908,1.98027443960681e-63
"GPC3",1.14940821804454e-67,-1.4625557858939,0.009,0.239,2.45099808415818e-63
"CALCRL",2.55478068009584e-67,-1.11593263787393,0.015,0.252,5.44781432223638e-63
"TPPP3",3.23245629317303e-67,-1.31239287919512,0.011,0.244,6.89288979956216e-63
"PGF",6.87307329993771e-67,-1.26063541288258,0.019,0.259,1.46561415047872e-62
"RGS2",8.71132806817658e-67,1.40345858629748,0.523,0.198,1.85760359725797e-62
"PLPP3",1.26615223580959e-66,-1.27129928125905,0.025,0.269,2.69994302764037e-62
"APOA2",1.30092618151079e-66,-5.02349815512131,0.272,0.557,2.77409498945362e-62
"CFH",1.52121410778306e-66,-1.10199079004493,0.04,0.299,3.2438369634366e-62
"TNFRSF12A",2.56302718009579e-66,-1.24747339535291,0.034,0.283,5.46539915883625e-62
"DCN",5.18816109685059e-66,-1.49160282769779,0.01,0.235,1.10632347229242e-61
"EID1",9.18182193905931e-66,-1.14991541677407,0.356,0.62,1.95793171028501e-61
"ADAMTS9",1.50023388642263e-65,-1.03655510940899,0.008,0.232,3.19909873940762e-61
"SEPW1",2.9122725176418e-65,-1.32449614997342,0.281,0.573,6.21012991661938e-61
"APOE",7.28674590869678e-65,-3.36680853979711,0.172,0.456,1.5538256975705e-60
"IGFBP3",1.33963246782299e-64,-2.28850972052509,0.023,0.261,2.85663227438574e-60
"ACTA2",1.35516899455631e-64,-3.88729656289303,0.079,0.339,2.88976236399188e-60
"RNASET2",1.38046627099222e-64,1.04781629125014,0.483,0.167,2.94370627626381e-60
"POLR2L",1.64846454102561e-64,-1.05482077343399,0.609,0.777,3.51518578728301e-60
"IGLC3",1.81555624136616e-64,1.51675479132399,0.481,0.176,3.87149212908919e-60
"RDX",2.76943227145477e-64,-1.08641042941347,0.16,0.445,5.90553737565014e-60
"TF",6.06849987657105e-64,-2.62703652535517,0.04,0.282,1.29404691368001e-59
"TMEM204",1.03220745918836e-63,-1.16016463656113,0.029,0.27,2.20107918597326e-59
"ATP5I",1.04780807053225e-63,-1.48797210044654,0.477,0.702,2.23434592960296e-59
"CCND1",1.25462122772052e-63,-1.23016457095272,0.04,0.29,2.67535430599123e-59
"HLA-DPA1",3.04888980323402e-63,2.85757737421691,0.414,0.126,6.50145261641623e-59
"TMEM141",3.35792300136881e-63,-1.32218046117735,0.109,0.381,7.16043500811884e-59
"CCL5",1.05979988027633e-62,2.36053673551227,0.302,0.051,2.25991726470125e-58
"RGS10",1.07354446333607e-62,1.04351507475004,0.272,0.033,2.28922621361784e-58
"UQCR11",2.08259659222218e-62,-1.06209329652232,0.643,0.806,4.44092897325457e-58
"PDGFRB",3.50529735887461e-62,-1.23375957501891,0.006,0.215,7.47469608806422e-58
"AQP1",5.84675442434394e-62,-1.34732050006423,0.016,0.238,1.2467619134471e-57
"RAMP3",6.89955224499104e-62,-1.50228220152321,0.02,0.245,1.47126052072189e-57
"COLEC11",7.32214800274348e-62,-1.36458794351554,0.011,0.224,1.56137484010502e-57
"AKAP12",8.43220345644952e-62,-1.07143386481978,0.011,0.226,1.7980830650533e-57
"SLIRP",1.07917065889185e-61,-1.04696107682923,0.307,0.579,2.30122351302097e-57
"ENG",1.10439807819838e-61,-1.60289134859302,0.061,0.312,2.35501846195023e-57
"SPINK1",2.06885327474917e-61,-2.50274812690432,0.015,0.233,4.41162272307514e-57
"SDPR",3.14538142911938e-61,-1.01618273700414,0.009,0.221,6.70721135945416e-57
"FKBP1A",3.2500288683266e-61,-1.39674766567525,0.371,0.642,6.93036155881964e-57
"COL6A1",4.31825033817931e-61,-1.06138709430892,0.009,0.219,9.20823702113356e-57
"HLA-DMA",5.34908221637673e-61,1.27696740314747,0.39,0.108,1.14063829182017e-56
"TACC1",8.12667331432268e-61,-1.04029719747983,0.139,0.43,1.73293181754617e-56
"ROMO1",9.88387731759624e-61,-1.16883083445995,0.289,0.569,2.10763799920422e-56
"HIGD1B",1.02679490905686e-60,-1.51173507963848,0.006,0.213,2.18953746407285e-56
"ECSCR",1.16040118241082e-60,-1.10403154133797,0.019,0.239,2.47443948137284e-56
"APOC3",1.20323031939858e-60,-3.50738751439185,0.209,0.481,2.56576833308554e-56
"PLK2",2.82219493814277e-60,-1.04346280330836,0.049,0.291,6.01804848609564e-56
"PFDN2",4.0961224877002e-60,-1.09191285151272,0.247,0.543,8.73457159277192e-56
"LST1",4.22174626895336e-60,1.58588977251274,0.226,0.014,9.00245174391614e-56
"HLA-DQA1",5.13478114967066e-60,2.07056631613976,0.229,0.015,1.09494073235577e-55
"MGLL",5.3890849664362e-60,-1.03843888556679,0.076,0.323,1.14916847824286e-55
"SERINC2",6.24443651821929e-60,-1.29815201603723,0.015,0.229,1.33156364314508e-55
"TIMM13",7.64260059436917e-60,-1.08426916242036,0.222,0.501,1.62970815074328e-55
"NOTCH4",7.87988193267622e-60,-1.21631853164277,0.023,0.244,1.68030602332388e-55
"GC",9.54397653436752e-60,-1.87833083902443,0.027,0.251,2.03515755618853e-55
"SSR4",1.97601521878369e-59,1.379792075795,0.79,0.68,4.21365485253434e-55
"EPHX1",8.2139917954261e-59,-1.18066151975828,0.058,0.298,1.75155161045666e-54
"CLU",1.01958680123979e-58,-2.30890399609605,0.112,0.362,2.17416689496374e-54
"GZMA",1.24540963082543e-58,1.84745911975022,0.236,0.021,2.65571149677216e-54
"LCK",1.55466081408116e-58,1.06802846460808,0.23,0.018,3.31515871994667e-54
"LMNA",1.74521631288022e-58,-1.11076439797306,0.44,0.696,3.72149926558579e-54
"NDUFB9",2.42546676902047e-58,-1.10309437650131,0.39,0.628,5.17206533825926e-54
"FLT1",4.31281623769964e-58,-1.40279493907165,0.023,0.241,9.19664934527071e-54
"CD3G",7.45838517094071e-58,1.09553576251508,0.204,0.006,1.5904260538514e-53
"MIF",1.04592468994127e-57,-1.2873850608652,0.351,0.608,2.23032980883077e-53
"NTS",4.28229694003684e-57,-3.02037129585234,0.011,0.211,9.13156999493456e-53
"CYB5A",4.40719618317219e-57,-1.02645781315976,0.11,0.375,9.39790514099638e-53
"EVL",7.07974912209573e-57,1.16697672011645,0.34,0.089,1.50968570279569e-52
"CLDN5",7.14130803071402e-57,-2.26449792636962,0.029,0.246,1.52281252446946e-52
"CRISPLD2",1.24333922702043e-56,-1.57768872462447,0.015,0.217,2.65129656769837e-52
"NOTCH3",6.35527722056785e-56,-1.07489826318329,0.019,0.226,1.35519931451389e-51
"COX6B1",1.31646101449979e-55,-1.0189545631451,0.653,0.799,2.80722146731935e-51
"CD36",1.15014403523421e-54,-1.87445483013118,0.053,0.279,2.45256714073343e-50
"CD34",1.42443234202152e-54,-1.04257430704845,0.015,0.213,3.0374595261267e-50
"MARCKSL1",1.93323318875755e-54,-1.12199027111977,0.19,0.451,4.12242645170659e-50
"MRPL27",3.06852584021817e-54,-1.01961982761738,0.154,0.411,6.54332450168123e-50
"CYC1",3.24857996597891e-54,-1.09603358389118,0.273,0.519,6.92727191945343e-50
"SEPT4",1.10410996144623e-53,-1.19765687962208,0.032,0.239,2.35440408178794e-49
"PTGR1",1.76501350197869e-53,-1.05342037783444,0.023,0.226,3.76371479161936e-49
"PODXL",3.61979984805496e-53,-1.04526654213032,0.017,0.212,7.71886119599241e-49
"COL1A2",5.67367862552878e-53,-1.34930665614594,0.01,0.196,1.20985523010776e-48
"ANXA2",8.07521923958356e-53,-1.01025342847056,0.458,0.685,1.7219597506488e-48
"ASPN",3.15012075473365e-52,-1.72355587625199,0.004,0.181,6.71731749739404e-48
"PTPRB",4.27119250851184e-52,-1.03110913488852,0.011,0.196,9.10789090515065e-48
"VCX2",1.26421884984451e-51,-2.01689244532936,0.007,0.187,2.69582027540843e-47
"RBP4",1.67525459122077e-51,-2.02339068905066,0.124,0.36,3.57231289031917e-47
"APOLD1",2.34202400701473e-51,-1.00052900278127,0.03,0.234,4.99413199255821e-47
"SOD3",6.24957656322564e-51,-1.14926844751314,0.002,0.172,1.33265970634223e-46
"PRAP1",9.23059607450684e-51,-1.65195961584744,0.043,0.252,1.96833230692784e-46
"COX4I2",1.72903742128696e-50,-1.10537391285054,0.01,0.189,3.68699939715231e-46
"CRYAB",1.92403698187757e-50,-1.8627827767697,0.012,0.193,4.10281646015572e-46
"RARRES3",3.23284024894328e-50,1.13961356834637,0.373,0.123,6.89370854684666e-46
"APOC1",5.58091572788989e-50,-2.58951345827503,0.194,0.45,1.19007446981524e-45
"CST7",1.00045319268419e-49,1.07057905652901,0.193,0.013,2.13336638807976e-45
