"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IFITM3",2.16093233237362e-286,-3.09576008586767,0.203,0.875,4.6079721055535e-282
"CALD1",4.649722187684e-254,-3.49976966993066,0.049,0.719,9.91506759301736e-250
"RGS1",1.00387505597799e-206,2.17872149058409,0.675,0.066,2.14066316936746e-202
"CNN3",2.85358753969833e-205,-2.2837275173492,0.027,0.604,6.08499006965271e-201
"CYBA",9.13598765367263e-205,1.70985345032483,0.908,0.415,1.94815800726915e-200
"CXCR4",9.58562517699417e-205,2.86904168263602,0.731,0.127,2.04403871274224e-200
"NGFRAP1",7.86489298301684e-184,-1.72224712843187,0.047,0.601,1.67710977969851e-179
"CD52",8.40803289045747e-180,3.2786091068874,0.613,0.076,1.79292893356115e-175
"SPARC",4.91746217957389e-177,-3.50857338801093,0.048,0.566,1.04859963517234e-172
"IGFBP7",1.91177616656085e-174,-4.51189525153746,0.095,0.603,4.07667149757436e-170
"SEPP1",2.63586123378087e-172,-1.35385041289215,0.107,0.676,5.62071049491434e-168
"IFI27",5.30550768445391e-170,-2.53536612317641,0.124,0.655,1.13134645863295e-165
"CRIP2",3.40926093602477e-164,-2.1399617205043,0.049,0.549,7.26990801997922e-160
"PTPRC",5.70657471579293e-164,2.26482726546835,0.508,0.021,1.21686999239568e-159
"CORO1A",1.01369806380679e-162,2.21838306159374,0.532,0.039,2.1616097512616e-158
"SPARCL1",2.27458464688505e-162,-3.47372731230041,0.036,0.523,4.85032430101768e-158
"WBP5",2.9140856442405e-162,-1.65498251536896,0.074,0.576,6.21399622777844e-158
"TM4SF1",2.61018910683272e-153,-2.62213157621753,0.04,0.513,5.56596725141009e-149
"APP",5.15596367438742e-152,-1.75994591217245,0.074,0.564,1.09945769392637e-147
"CD63",3.68529036535259e-151,-1.50643421918484,0.669,0.905,7.85851317507785e-147
"PTRF",6.07060519150035e-150,-2.00838728662892,0.022,0.475,1.29449585103553e-145
"S100A4",7.04225319621025e-148,2.77305018472324,0.676,0.187,1.50169007155987e-143
"ITGB1",4.80468389017645e-145,-1.70646491165205,0.282,0.744,1.02455079274123e-140
"EPAS1",7.14194443916372e-144,-1.97063712568273,0.036,0.485,1.52294823220727e-139
"TSC22D1",7.65365440078893e-144,-2.16169420226551,0.076,0.533,1.63206526442423e-139
"PRKCDBP",1.59098525208801e-143,-1.63146555167875,0.027,0.47,3.39261695155248e-139
"CAV1",6.97882324119643e-143,-2.21024664054091,0.129,0.57,1.48816426795273e-138
"MGP",9.10210357898092e-143,-3.21725777496536,0.055,0.502,1.94093256718189e-138
"CD151",1.49813201582254e-142,-1.59017867771679,0.124,0.594,3.19461671053999e-138
"A2M",2.07821958595726e-142,-2.12484640696312,0.084,0.549,4.43159544509525e-138
"NUPR1",2.74683629705616e-140,-3.12712112195735,0.069,0.527,5.85735371984255e-136
"CYTIP",5.1501009024058e-138,1.27926990702403,0.517,0.057,1.09820751642901e-133
"GNG11",7.29405252811753e-138,-2.43376555915697,0.038,0.471,1.55538376109578e-133
"CD37",6.80085608546779e-133,1.50228962347074,0.452,0.03,1.45021455166515e-128
"GSN",3.16265380637202e-130,-1.98454626910924,0.112,0.552,6.7440429767077e-126
"TFPI",3.84853343964041e-130,-1.5212175602394,0.027,0.44,8.2066127066892e-126
"IL2RG",3.55404546526387e-128,1.47245207093472,0.427,0.023,7.57864655012868e-124
"CD59",6.60980399572077e-128,-1.87825240900475,0.358,0.705,1.4094746040475e-123
"HCST",5.64465212090628e-127,2.1371088084062,0.437,0.032,1.20366561826205e-122
"RHOC",3.66761833224408e-126,-1.55652286735905,0.195,0.646,7.82082933167728e-122
"NDUFA4L2",6.30445389708213e-126,-3.08463803710577,0.042,0.444,1.34436174901379e-121
"EGR1",7.06999023690992e-126,-2.31418222736012,0.118,0.546,1.50760471811867e-121
"COL4A1",1.38497120107563e-124,-1.92851289613082,0.024,0.422,2.95331258917367e-120
"TINAGL1",2.78922636419348e-124,-1.7997735628861,0.014,0.4,5.94774629900618e-120
