"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADIRF",9.4166439412845e-32,-1.34706067723412,0.097,0.28,2.00800515403951e-27
"APOC3",1.43555985248131e-31,3.21570402286232,0.447,0.243,3.06118782943115e-27
"SLC9A3R2",1.75555449036443e-31,-1.09155146891267,0.078,0.251,3.74354439525311e-27
"AHSG",2.44003692848162e-30,2.30201501445008,0.212,0.061,5.20313474629422e-26
"CTSD",5.31535898378093e-30,2.28769492742952,0.551,0.37,1.13344714970145e-25
"HBA1",2.05238109107868e-29,1.86563245581877,0.132,0.014,4.37649743861617e-25
"KLRB1",3.40609450629069e-29,-2.71118472127777,0.091,0.239,7.26315592521427e-25
"MYL9",4.26353771007715e-29,-1.11630841945202,0.141,0.334,9.09156781296852e-25
"IGFBP5",4.32623339801356e-29,-1.31539869963941,0.071,0.231,9.22526009792411e-25
"HSPA1B",4.33206291205349e-29,-1.42324658843351,0.622,0.683,9.23769095366286e-25
"CLEC2D",3.17673525552027e-28,-1.11508369023106,0.091,0.239,6.77407025887143e-24
"TCF4",1.30472122683366e-27,-1.14169781342659,0.272,0.42,2.7821875441001e-23
"CCL20",1.63333699446532e-27,1.3632801231973,0.189,0.048,3.48292780699785e-23
"HSPH1",5.85832542790102e-26,-1.19004870315897,0.47,0.549,1.24922931424561e-21
"GZMA",6.16687418656529e-26,-1.68004850704716,0.063,0.194,1.31502425154318e-21
"DNASE1L3",9.6843798680604e-26,-1.45190653888941,0.037,0.16,2.0650971630652e-21
"HMGB2",1.40581769682004e-25,-1.14866838650363,0.205,0.367,2.99776565669905e-21
"IGLC7",2.49735791715308e-25,1.23672001506631,0.103,0.007,5.32536602253722e-21
"CXCR4",4.43530154831601e-25,-2.09095518033179,0.39,0.468,9.45783702162905e-21
"DNAJB4",7.35811713227881e-25,-1.05251354306119,0.2,0.347,1.56904489728713e-20
"IGHA2",9.90300414563948e-25,-1.40320808132168,0.117,0.014,2.11171660401616e-20
"TRBC1",1.29320880442216e-24,-1.80014725306565,0.089,0.22,2.7576384545498e-20
"IGLL1",2.67025844034508e-24,1.0515266189481,0.103,0.009,5.69405909819186e-20
"CD69",2.94766884736722e-23,-1.67127766685967,0.118,0.25,6.28560905012585e-19
"TTR",3.85899916692314e-21,1.32811115278409,0.259,0.118,8.2289298235469e-17
"DDT",8.83842437540927e-20,1.36375815248306,0.538,0.392,1.88470561381227e-15
"SOCS3",2.14682448067972e-19,-1.03809710205957,0.402,0.482,4.57788852260144e-15
"RARRES3",3.45679814044159e-19,-1.0280405700325,0.19,0.307,7.37127635467765e-15
"CCL5",1.02651841934609e-18,-2.14945828452781,0.12,0.233,2.18894787741359e-14
"HSPB1",3.5822163060649e-18,-1.13778176341323,0.833,0.776,7.63871805105279e-14
"RAC2",4.55980662274434e-18,-1.05223721303315,0.161,0.267,9.72333164234004e-14
"ITM2A",1.53673169115163e-17,-1.18478960303596,0.28,0.365,3.27692665821174e-13
"C1QA",4.61914588903251e-17,2.02774009347934,0.132,0.039,9.84986669377292e-13
"C1QB",6.54788739303917e-17,2.12157015873967,0.134,0.04,1.39627150769167e-12
"EGR1",1.64613330415767e-16,-1.07766821744155,0.274,0.39,3.51021465778582e-12
"C1QC",1.82773581600169e-16,1.63204629123453,0.106,0.025,3.89746385404201e-12
"RGCC",8.73853573650068e-16,-1.02244382573292,0.196,0.299,1.8634053604514e-11
"IL2RG",1.57095228666638e-14,-1.02263033435315,0.18,0.269,3.34989865608738e-10
"CRYAB",3.97020319684316e-13,-1.1310308376797,0.059,0.146,8.46606129694835e-09
"CSTB",6.30367813800754e-13,1.67217975817079,0.62,0.476,1.34419632614873e-08
"TM4SF1",2.36087252174972e-12,-1.00061726044825,0.22,0.333,5.03432456537911e-08
"HILPDA",3.84068112908528e-12,1.18460922565221,0.131,0.053,8.18986843966145e-08
"SEPP1",2.92386161509169e-11,1.29016967970184,0.423,0.359,6.23484250802152e-07
"HSPA6",5.39155107514799e-08,-1.8749519622713,0.256,0.32,0.00114969435126456
"NKG7",1.04181340872714e-07,-1.48073693564463,0.086,0.145,0.00222156291276975
"CCL3",3.79076996407872e-07,1.31065448583384,0.129,0.068,0.00808343787140146
